# GENERATED by gen_ram_map.py from ram_map.json - do not edit.
# name<TAB>addr<TAB>size<TAB>group<TAB>flags
game_mode	FFFFEF00	2	core	hex
game_mode_routine	FFFFEC20	2	core	hex
routine_exit_flags	FFFFEC27	1	core	hex
map_index	FFFFEC28	2	core	hex
map_index_2	FFFFEC2A	2	core	hex
world_index	FFFFF400	2	core	-
event_index	FFFFECA8	2	core	hex
field_move_flags	FFFFECE5	1	core	hex
step_offset	FFFFECE0	1	core	-
joy_held	FFFFEF02	1	input	hex
joy_pressed	FFFFEF03	1	input	hex
btn_held_frames	FFFFEF04	1	input	-
btn_held_timer	FFFFEF08	1	input	-
c1_facing	FFFFC006	2	pos	-
c1_mappings_idx	FFFFC010	1	pos	-
c1_x_step_dur	FFFFC028	2	pos	-
c1_y_step_dur	FFFFC02A	2	pos	-
c1_x_px	FFFFC030	2	pos	-
c1_y_px	FFFFC034	2	pos	-
c1_x_sub	FFFFC032	2	pos	hex
c1_y_sub	FFFFC036	2	pos	hex
c1_dest_x	FFFFC038	2	pos	-
c1_dest_y	FFFFC03A	2	pos	-
c2_facing	FFFFC046	2	pos2	-
c2_x_px	FFFFC070	2	pos2	-
c2_y_px	FFFFC074	2	pos2	-
coll_standing	FFFFEC80	1	collision	hex
coll_saved_standing	FFFFEC81	1	collision	hex
coll_shop	FFFFEC82	1	collision	hex
coll_left	FFFFEC83	1	collision	hex
coll_up	FFFFEC85	1	collision	hex
coll_right	FFFFEC87	1	collision	hex
coll_down	FFFFEC89	1	collision	hex
window_index	FFFFEC90	2	window	hex
window_saved_index	FFFFEC92	2	window	hex
windows_opened	FFFFEC9A	1	window	-
window_init_flag	FFFFEC9B	1	window	hex
window_render_mode	FFFFEC9C	2	window	hex
window_option_idx	FFFFEC9E	1	window	-
win_char_num	FFFFE3F0	2	window	-
arrow_offscreen	FFFFC2D2	1	window	-
arrow_x_px	FFFFC2F0	2	window	-
arrow_y_px	FFFFC2F4	2	window	-
interaction_evt_flag	FFFFECAA	1	window	hex
interaction_evt_type	FFFFECC3	1	window	-
party_slots	FFFFF40A	4	party	hex
party_slot_1	FFFFF40A	1	party	-
party_slot_2	FFFFF40B	1	party	-
party_slot_3	FFFFF40C	1	party	-
party_slot_4	FFFFF40D	1	party	-
party_slot_5	FFFFF40E	1	party	-
saved_char_x	FFFFF406	2	party	-
saved_char_y	FFFFF408	2	party	-
eflags_00	FFFFF100	4	flags	hex
eflags_04	FFFFF104	4	flags	hex
eflags_08	FFFFF108	4	flags	hex
eflags_0C	FFFFF10C	4	flags	hex
eflags_10	FFFFF110	4	flags	hex
eflags_14	FFFFF114	4	flags	hex
eflags_18	FFFFF118	4	flags	hex
eflags_1C	FFFFF11C	4	flags	hex
ext_eflags_00	FFFFF120	4	flags	hex
chest_flags_00	FFFFF140	4	flags	hex
temp_eflags_00	FFFFF156	2	flags	hex
town_flags_00	FFFFF160	4	flags	hex
rng_seed	FFFFEF0C	4	rng	hex
